episode,agent,cum_reward,success,agent_energy,final_dist,avg_policy_entropy,avg_advantage
0,0,-1246.334693613377,False,0.409401580174225,6.292578667423746,0.9234573113565716,0.050715722711462255
0,1,-1311.378107384035,False,0.4173585907204193,6.743164361113031,0.9269606831611551,0.00025374635275376235
0,2,-1165.4460906305908,False,0.4308569719549625,5.793117092368774,0.9186388673419882,0.1131678734736966
0,3,-1290.6501468100041,False,0.4384703190399852,6.7670887831697994,0.9260263824048077,0.015109346197607551
0,4,-1044.2018635791005,False,0.39909186021410525,5.368383900264202,0.9107886939002594,0.2033567807831379
1,0,-889.4533632133636,False,0.383200712548589,4.748103622490383,0.8976099169236932,0.26973561400137847
1,1,-1219.3932562472562,False,0.38096902372964325,6.245111735805821,0.9220557305919658,1.2559161291310113e-09
1,2,-901.3740493022021,False,0.3686970356020146,4.399505803675691,0.8982715217267118,0.2622927121100539
1,3,-524.24314959065,False,0.3947126426081941,2.6413101095697558,0.8418498163979525,0.5710744837187529
1,4,-232.44436288861942,False,0.3845548158385731,1.2299419027393583,0.724345872248828,0.8081204507525215
2,0,-1074.2431030619503,False,0.3715424957336444,5.562145922873789,0.9129028247377545,0.010535792568282819
2,1,-979.9770076058276,False,0.3961261843865277,5.09597722388152,0.9056020871987323,0.0978342515809514
2,2,-906.7462642456063,False,0.3907891721541561,4.750231970066759,0.8991082429508412,0.1651890724777526
2,3,-317.63517372569015,False,0.38054902457109796,1.8006469701393806,0.7748745099800664,0.7045435415982462
2,4,-1085.7589514212254,False,0.41179384396196905,5.5962367019638375,0.9136475730773712,0.0004633801161329886
3,0,-460.360611088106,False,0.36070200666778784,2.3793675445884928,0.8260049993720958,0.5781366898171272
3,1,-743.4007568035745,False,0.39830902285122904,3.7156049838529053,0.8803843681902425,0.3205268822918962
3,2,-736.0704895657084,False,0.3862141551764392,3.767224153072887,0.8799745257007746,0.3249966110386551
3,3,-1066.3188250994936,False,0.36346164578586776,5.4443513554230085,0.9120781950037762,0.024674675252549953
3,4,-1088.8172445361802,False,0.40863000004566286,5.678764782544842,0.9139986195204055,0.0016879265349567059
4,0,-745.7142274023385,False,0.4194209147632562,4.002607639958553,0.8812279634908636,0.3708588888279029
4,1,-894.4017762735567,False,0.4194526987355769,4.633240759678468,0.8979519692126781,0.2460494427331213
4,2,-1188.5746502008274,False,0.3789487750671229,5.9448142797450325,0.9200563414562635,1.2928790933002847e-09
4,3,-916.4341951945543,False,0.3819905330469149,4.570970518581361,0.8998116670744476,0.22874295797297484
4,4,-1082.158234701985,False,0.4326057584479674,5.520246937594097,0.9133717673456058,0.08821884343151204
5,0,-797.7459535371818,False,0.33915963594825715,4.058930134614669,0.8875116764205264,0.5588237518186713
5,1,-1108.867446007931,False,0.4196810534535268,5.577993332987985,0.9152315492266746,0.38655622691798297
5,2,-1142.7788675499523,False,0.3647098237484182,5.906604488316197,0.9175050671733462,0.36753900725408234
5,3,-1279.3655773479481,False,0.4430711375492669,6.659067837112624,0.9252617270103065,0.29252114152150144
5,4,-1806.094320940072,False,0.3999217834540686,9.406072588990993,0.9454432925740862,8.46515480292853e-10
